Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@castjai,@castjai,1,8,10,0.25687,0.281537,0
@castroabogado,@castroabogado,1,5,12,0.212171,0.226211,0
@cata_a_secas,@cata_a_secas,1,157,11,0.246168,0.266,0
@cata_galatea,@cata_galatea,1,157,11,0.246168,0.266,0
@catalan_park,@catalan_park,1,139,10,0.245122,0.270518,0
@catalina_valpo,@catalina_valpo,20,5,10,0.285416,0.321386,0.005256
@ChrischileXD,@ChrischileXD,4,5,11,0.228365,0.245405,0.000297
@MiDerechoEducar,@MiDerechoEducar,3,5,11,0.224511,0.2408,0.00031
@borismonsalve,@borismonsalve,1,5,11,0.222051,0.237492,0
@chpiensa,@chpiensa,2,8,11,0.223775,0.239539,0.000006
@catapue,@catapue,1,157,11,0.246168,0.266,0
@catberny,@catberny,1,8,10,0.236657,0.25105,0
@catherinearave4,@catherinearave4,1,0,11,0.222413,0.235746,0
@catherineplazco,@catherineplazco,2,0,11,0.249759,0.271476,0.000201
@cathsaez,@cathsaez,2,157,11,0.246637,0.26689,0.000108
@catibra,@catibra,26,8,10,0.272708,0.306616,0.004766
@AlbertoTheCreep,@AlbertoTheCreep,2,8,11,0.23808,0.258017,0.000003
@AnaYsabel59,@AnaYsabel59,2,8,11,0.253804,0.275129,0.000017
@Inconforme75,@Inconforme75,13,8,11,0.244648,0.266793,0.000091
@JuanMuncc,@JuanMuncc,8,8,11,0.260546,0.282953,0.000071
@catileo49,@catileo49,1,124,11,0.201664,0.21304,0
@catita_mora_u,@catita_mora_u,1,157,11,0.220907,0.232079,0
@catito_ss,@catito_ss,1,0,13,0.155023,0.15847,0
@Claudiotter,@Claudiotter,2,0,12,0.183458,0.189188,0.0003
@cattarcticsky,@cattarcticsky,1,124,11,0.201664,0.21304,0
@cauthatrading,@cauthatrading,2,8,12,0.21708,0.231182,0.000004
@cazuelasopia,@cazuelasopia,1,139,10,0.245122,0.270518,0
@cbecerrav,@cbecerrav,8,52,11,0.192812,0.20303,0.001881
@AHFCHILE,@AHFCHILE,1,52,12,0.16165,0.167306,0
@AHFLatamyCaribe,@AHFLatamyCaribe,1,52,12,0.16165,0.167306,0
@ahf_mexico,@ahf_mexico,1,52,12,0.16165,0.167306,0
@ahfinstitute,@ahfinstitute,1,52,12,0.16165,0.167306,0
@brasil_ahf,@brasil_ahf,1,52,12,0.16165,0.167306,0
@cburana_c,@cburana_c,4,5,10,0.263203,0.2894,0.000121
@cc2011urbe,@cc2011urbe,1,0,11,0.216365,0.228595,0
@ccesarretamal,@ccesarretamal,5,8,10,0.235529,0.251705,0.0012
@CCESARRETAMAL,@CCESARRETAMAL,1,8,11,0.190637,0.198652,0
@DiamandLiliana,@DiamandLiliana,1,8,11,0.190637,0.198652,0
@RolandoLovo,@RolandoLovo,1,8,11,0.190637,0.198652,0
@ludyrueda31,@ludyrueda31,1,8,11,0.190637,0.198652,0
@cconmemoria,@cconmemoria,2,0,11,0.225771,0.240361,0.000063
@ccontreras3194,@ccontreras3194,1,171,10,0.215619,0.226946,0
@ccornejoa,@ccornejoa,2,0,11,0.226629,0.240306,0.000017
@cdelacarrera,@cdelacarrera,1,5,12,0.216573,0.230214,0
@cdelpilar_,@cdelpilar_,2,157,11,0.246637,0.26689,0.000108
@cdia2az,@cdia2az,5,0,11,0.236119,0.254645,0.000649
@AntofagastaTV,@AntofagastaTV,5,52,11,0.222346,0.236383,0.000444
@drrobertnunez,@drrobertnunez,1,0,12,0.191023,0.199978,0
@cdjmata,@cdjmata,3,109,12,0.189357,0.199088,0.000074
@cdomenech77,@cdomenech77,1,135,3,0.5,0.566667,0
@ce3wyz,@ce3wyz,1,157,11,0.191722,0.201257,0
@ce_wag,@ce_wag,1,0,11,0.224201,0.238157,0
@ceakrisil,@ceakrisil,1,5,12,0.203371,0.21416,0
@1963rosita,@1963rosita,5,5,11,0.255277,0.276964,0.000324
@ceballoscarola,@ceballoscarola,1,57,1,1,1,0
@AP_Noticias,@AP_Noticias,1,57,1,1,1,0
@ceci1222,@ceci1222,5,5,10,0.258598,0.291974,0.000454
@cecian26,@cecian26,1,0,11,0.224201,0.238157,0
@cecicantos,@cecicantos,7,8,10,0.294789,0.332408,0.006092
@ceciferrsouza,@ceciferrsouza,1,139,10,0.245122,0.270518,0
@cecihormazabalm,@cecihormazabalm,1,0,11,0.224201,0.238157,0
@cecilia50835241,@cecilia50835241,1,5,12,0.212171,0.226211,0
@ceciliaaravena1,@ceciliaaravena1,9,8,10,0.254926,0.280176,0.000183
@ceciliaberrioss,@ceciliaberrioss,1,8,12,0.222565,0.235155,0
@ceciliana1655,@ceciliana1655,1,139,10,0.235786,0.250448,0
@ceciliaortegah1,@ceciliaortegah1,1,0,11,0.224201,0.238157,0
@ceciliauribej,@ceciliauribej,1,0,11,0.224201,0.238157,0
@cecitomate,@cecitomate,1,157,11,0.235883,0.248355,0
@cecsaga,@cecsaga,1,58,1,1,1,0
@pfizer,@pfizer,1,58,1,1,1,0
@cecy96977247,@cecy96977247,4,0,11,0.252028,0.276282,0.00046
@cecydelinares,@cecydelinares,1,0,11,0.217289,0.227714,0
@cecyfreire2107,@cecyfreire2107,7,8,10,0.267519,0.298168,0.00017
@cecymosaico,@cecymosaico,1,5,12,0.198766,0.208939,0
@cecyrojas,@cecyrojas,2,0,11,0.23628,0.251251,0.000064
@cegrez,@cegrez,2,0,11,0.22454,0.23899,0.000038
@celestethedom_,@celestethedom_,1,183,13,0.161013,0.167948,0
@celta_20033,@celta_20033,3,5,10,0.253841,0.28158,0.000384
@cenabast,@cenabast,1,52,11,0.186518,0.195811,0
@ceol24,@ceol24,3,157,11,0.247649,0.268608,0.000051
@justVcause,@justVcause,5,157,12,0.210075,0.225289,0.000008
@ceramicadolores,@ceramicadolores,2,5,12,0.195442,0.205822,0.0003
@CesarHabre,@CesarHabre,1,5,13,0.163494,0.169526,0
@cero_cl,@cero_cl,4,139,10,0.293456,0.329354,0.001799
@cesar37600563,@cesar37600563,1,139,10,0.245122,0.270518,0
@cesar95756105,@cesar95756105,1,8,10,0.235444,0.251191,0
@cesargarces,@cesargarces,2,5,10,0.254289,0.285,0.000099
@cesarmoss,@cesarmoss,4,157,11,0.250701,0.273339,0.00116
@Raquel_Marti_,@Raquel_Marti_,3,157,12,0.200487,0.211256,0.0006
@cesarraul2013,@cesarraul2013,1,8,12,0.222565,0.235155,0
@cessy_solar,@cessy_solar,1,5,12,0.225105,0.2441,0
@ceugenianeira,@ceugenianeira,16,8,10,0.287185,0.328619,0.002122
@BaltuanoCesar,@BaltuanoCesar,2,8,11,0.225536,0.243604,0.000001
@BrendaEtchegar1,@BrendaEtchegar1,1,8,11,0.223121,0.241031,0
@Yaneth4626,@Yaneth4626,1,8,11,0.223121,0.241031,0
@tulinssen,@tulinssen,3,8,11,0.225555,0.243732,0.000002
@cfelipe_g,@cfelipe_g,11,8,10,0.262484,0.291394,0.000449
@ChichadeManzana,@ChichadeManzana,4,8,11,0.2178,0.233364,0.000084
@NigliaMaria,@NigliaMaria,3,8,11,0.216212,0.231588,0.000001
@cgflora,@cgflora,1,157,11,0.246168,0.266,0
@cglodiaz,@cglodiaz,1,157,11,0.246168,0.266,0
@cgloriabb,@cgloriabb,3,5,10,0.2332,0.251883,0.000117
@cgorigoitia,@cgorigoitia,1,0,11,0.216365,0.228595,0
@cguh08,@cguh08,1,0,11,0.224201,0.238157,0
@chabelabenavent,@chabelabenavent,2,8,10,0.257686,0.283137,0.000018
@chacaldemedios,@chacaldemedios,1,0,11,0.222413,0.235746,0
@chagoac,@chagoac,4,157,11,0.249663,0.271975,0.000057
@chalobarto,@chalobarto,1,0,13,0.175235,0.183238,0
@chaloiqq,@chaloiqq,4,8,10,0.279782,0.317043,0.000688
@MrReyKing,@MrReyKing,3,8,11,0.224075,0.240662,0.000301
@chandiafer,@chandiafer,1,42,2,0.666667,0.75,0
@chanel_leciel,@chanel_leciel,3,8,10,0.260416,0.29101,0.000215
@chanolio,@chanolio,2,0,11,0.23105,0.248702,0.00009
@chapter_86,@chapter_86,2,91,4,0.320988,0.38141,0.000001
@Shade__2002,@Shade__2002,2,91,5,0.25,0.308333,0
@freusan,@freusan,7,91,3,0.448276,0.551282,0.000006
@charliealfab,@charliealfab,2,5,12,0.202704,0.213146,0.000006
@pfalconb,@pfalconb,5,5,11,0.241752,0.259399,0.000465
@sergiou01329861,@sergiou01329861,12,5,11,0.246766,0.26738,0.001222
@charliebio,@charliebio,2,109,12,0.2166,0.227879,0.000191
@chatbolsacl,@chatbolsacl,1,59,1,1,1,0
@Reuters,@Reuters,1,59,1,1,1,0
@chemebien,@chemebien,4,8,12,0.232136,0.25447,0.000325
@tasty4ever1,@tasty4ever1,1,8,13,0.188408,0.19945,0
@cherie_nic,@cherie_nic,1,8,10,0.229172,0.240727,0
@cheriivs,@cheriivs,1,139,10,0.245122,0.270518,0
@chewnanot,@chewnanot,3,124,11,0.246918,0.267121,0.000837
@chhiri_og,@chhiri_og,2,0,11,0.222852,0.236367,0.000143
@chicho_2000,@chicho_2000,1,0,11,0.218709,0.231337,0
@chichohipico,@chichohipico,6,139,10,0.270307,0.299996,0.001593
@G4bbyta,@G4bbyta,15,139,11,0.240754,0.262579,0.001478
@decofiestasyari,@decofiestasyari,1,139,11,0.212797,0.225971,0
@chile_7ma_econ,@chile_7ma_econ,4,0,11,0.197857,0.208067,0.0009
@Camii_K11,@Camii_K11,1,0,12,0.165181,0.170987,0
@contextoecuador,@contextoecuador,1,0,12,0.165181,0.170987,0
@rtnoticias_br,@rtnoticias_br,1,0,12,0.165181,0.170987,0
@chileanclique,@chileanclique,1,60,1,1,1,0
@pilotsnewsarg,@pilotsnewsarg,1,60,1,1,1,0
@chileanleech,@chileanleech,1,61,1,1,1,0
@alis_bluesky,@alis_bluesky,1,61,1,1,1,0
@chileanpatriot1,@chileanpatriot1,1,5,12,0.225105,0.2441,0
@chilecolombia69,@chilecolombia69,1,0,11,0.210253,0.222816,0
@chileconci3ncia,@chileconci3ncia,1,62,1,1,1,0
@DrFSalazar,@DrFSalazar,1,62,1,1,1,0
@chilecorruptos1,@chilecorruptos1,7,169,10,0.26295,0.291372,0.00029
@RealDrJaneRuby,@RealDrJaneRuby,2,169,11,0.208429,0.221489,0.000001
@chilemaslibre,@chilemaslibre,1,139,10,0.245122,0.270518,0
@chilemipuerto,@chilemipuerto,14,8,10,0.264209,0.29217,0.001867
@Humbert63942943,@Humbert63942943,1,8,11,0.209,0.221444,0
@NatyCornej73260,@NatyCornej73260,1,8,11,0.209,0.221444,0
@OrtzJenny,@OrtzJenny,1,8,11,0.209,0.221444,0
@balbi_oscar,@balbi_oscar,1,8,11,0.209,0.221444,0
@guillermo250610,@guillermo250610,2,8,11,0.237036,0.257069,0.000004
@kissling_nicole,@kissling_nicole,1,8,11,0.209,0.221444,0
@chilena9772,@chilena9772,2,157,11,0.247625,0.26848,0.000012
@chilenalibertar,@chilenalibertar,4,5,12,0.231773,0.254975,0.000345
@AndreaPeaceCL,@AndreaPeaceCL,1,5,13,0.188169,0.199556,0
@chilenamg76,@chilenamg76,1,8,10,0.222365,0.234988,0
@chilenocool,@chilenocool,6,8,10,0.262644,0.290417,0.00014
@chilerepublic3,@chilerepublic3,1,5,12,0.225105,0.2441,0
@chileseune,@chileseune,1,171,10,0.215619,0.226946,0
@chilesinmentira,@chilesinmentira,1,8,10,0.25687,0.281537,0
@chinitaville,@chinitaville,3,0,10,0.247165,0.263128,0.000502
@EurekaNews10,@EurekaNews10,1,0,11,0.198189,0.205837,0
@chinito30chile,@chinito30chile,3,5,12,0.211023,0.223068,0.000016
@chiquitita132,@chiquitita132,6,8,10,0.258753,0.285292,0.000354
@FLMIRONES,@FLMIRONES,9,8,11,0.260979,0.283781,0.000107
@patriotjudge,@patriotjudge,1,8,11,0.205571,0.217661,0
@chito_quillota,@chito_quillota,1,5,12,0.193618,0.203746,0
@chochewetzel,@chochewetzel,2,139,10,0.253518,0.281014,0.000045
@choconina3c273,@choconina3c273,4,157,11,0.249663,0.271975,0.000057
@chohazaw,@chohazaw,1,52,11,0.18593,0.196243,0
@choto_59,@choto_59,1,139,10,0.245122,0.270518,0
@chr1st1anphob1a,@chr1st1anphob1a,1,63,1,1,1,0
@DschlopesIsBack,@DschlopesIsBack,1,63,1,1,1,0
@christchacon,@christchacon,1,109,12,0.186915,0.19554,0
@christhecat25,@christhecat25,1,139,10,0.245122,0.270518,0
@christian1987_1,@christian1987_1,1,5,12,0.225105,0.2441,0
@chroblesfecci,@chroblesfecci,1,8,12,0.225939,0.237245,0
@chuckyhenriquez,@chuckyhenriquez,1,124,11,0.219989,0.231932,0
@chupayakun,@chupayakun,2,0,11,0.226937,0.242595,0.000078
@chvoyage,@chvoyage,7,169,12,0.18589,0.196642,0.000849
@AnwaltUlbrich,@AnwaltUlbrich,1,169,13,0.156756,0.162891,0
@RenzTom,@RenzTom,4,169,11,0.2111,0.22542,0.00045
@daniel_gugger,@daniel_gugger,3,169,13,0.164391,0.171852,0.00001
@maikpi70,@maikpi70,2,169,13,0.163181,0.170241,0.000004
@nightglow98,@nightglow98,1,169,13,0.156756,0.162891,0
@cielo_tronador,@cielo_tronador,3,5,10,0.259115,0.28524,0.000199
@cienciamateria,@cienciamateria,1,0,13,0.154958,0.159432,0
@metodologica_cl,@metodologica_cl,4,0,12,0.183367,0.191059,0.000643
@ciervotabaquero,@ciervotabaquero,6,8,10,0.257789,0.283583,0.000147
@aflorrick77,@aflorrick77,2,8,11,0.211367,0.224552,0.000001
@cifuentesanibal,@cifuentesanibal,1,8,10,0.236657,0.25105,0
@cilicio2008,@cilicio2008,1,215,11,0.215825,0.225695,0
@cimaloco,@cimaloco,1,0,11,0.204687,0.216464,0
@cinefilo_cl,@cinefilo_cl,1,157,12,0.204938,0.215984,0
@cinostemon,@cinostemon,1,0,11,0.224201,0.238157,0
@cirebego,@cirebego,1,139,10,0.245122,0.270518,0
@ciudadanamagaly,@ciudadanamagaly,2,139,10,0.260638,0.284596,0.000876
@ciudadanobot,@ciudadanobot,1,8,10,0.25687,0.281537,0
@cj_rg,@cj_rg,2,157,11,0.247625,0.26848,0.000012
@cjapino,@cjapino,5,0,10,0.263524,0.289527,0.001187
@cjburgos,@cjburgos,1,0,11,0.224201,0.238157,0
@ckd20704,@ckd20704,1,171,10,0.215619,0.226946,0
@cl_juank,@cl_juank,1,0,13,0.161529,0.166668,0
@clach_2000,@clach_2000,3,8,10,0.261545,0.288275,0.000304
@clachiroc,@clachiroc,2,157,11,0.239189,0.253585,0.000008
@claclaudilla,@claclaudilla,1,0,11,0.210253,0.222816,0
@clacocacc,@clacocacc,1,124,11,0.219989,0.231932,0
@claester,@claester,5,139,10,0.255114,0.286809,0.000746
@SaVanessCa,@SaVanessCa,1,139,11,0.203268,0.217799,0
@antiprogrecom,@antiprogrecom,1,139,11,0.203268,0.217799,0
@clanlir,@clanlir,10,139,11,0.254351,0.278188,0.003249
@ACOM_es,@ACOM_es,2,139,11,0.241854,0.261016,0.000012
@SimyBenarroch,@SimyBenarroch,2,139,12,0.202799,0.213803,0.0003
@clarkchile,@clarkchile,1,139,10,0.245122,0.270518,0
@clau__cute,@clau__cute,1,215,11,0.215825,0.225695,0
@clau_soycyborg,@clau_soycyborg,1,157,12,0.2147,0.224812,0
@clau_villagra,@clau_villagra,1,0,13,0.1558,0.160562,0
@_ceciliaD,@_ceciliaD,3,0,12,0.184548,0.192746,0.000303
@clau_zurda,@clau_zurda,6,157,11,0.256286,0.281466,0.001249
@BlanquitaMontt,@BlanquitaMontt,2,157,12,0.205587,0.218085,0.000001
@claucardenia,@claucardenia,2,0,11,0.247425,0.26798,0.000368
@claudia010101,@claudia010101,7,8,10,0.268613,0.301222,0.000534
@nromero_BEISBOL,@nromero_BEISBOL,1,8,11,0.211746,0.226308,0
@claudia_01577,@claudia_01577,1,157,11,0.204421,0.214188,0
@claudia_huertaf,@claudia_huertaf,1,139,10,0.245122,0.270518,0
@claudiadides,@claudiadides,1,8,12,0.230291,0.240859,0
@claudialoretos4,@claudialoretos4,1,157,11,0.235883,0.248355,0
@claudialyndon,@claudialyndon,1,52,12,0.181818,0.19068,0
@latercera,@latercera,13,52,11,0.222213,0.239529,0.003695
@claudiamunoza,@claudiamunoza,1,5,12,0.225105,0.2441,0
@claudiapaztriv1,@claudiapaztriv1,3,5,10,0.26287,0.291781,0.000372
@fondoazul,@fondoazul,1,5,11,0.208161,0.221252,0
@claudiatabiilo,@claudiatabiilo,1,0,11,0.217289,0.227714,0
@claudiaustral,@claudiaustral,1,0,13,0.143624,0.148025,0
@ernestorr,@ernestorr,5,0,12,0.167706,0.175017,0.000609
@claudiaxgr,@claudiaxgr,13,8,10,0.268058,0.298304,0.000803
@manhattan_2,@manhattan_2,12,8,11,0.239774,0.261505,0.000916
@claudio76000771,@claudio76000771,4,8,10,0.264451,0.293185,0.000121
@claudiocanalesz,@claudiocanalesz,2,8,10,0.257048,0.281954,0.000011
@claudiomarcelu,@claudiomarcelu,2,139,10,0.245238,0.270753,0.00004
@zurditabella261,@zurditabella261,3,139,11,0.227544,0.245258,0.000006
@claudiorios6,@claudiorios6,1,0,11,0.216365,0.228595,0
@claudiorojasala,@claudiorojasala,3,0,11,0.252851,0.276796,0.000438
@claudita777,@claudita777,1,64,2,0.666667,0.75,0
@OLECRAMSAJOR,@OLECRAMSAJOR,2,64,1,1,1,0
@claumar20092144,@claumar20092144,1,8,12,0.211513,0.222925,0
@claumasep,@claumasep,1,157,11,0.229608,0.240715,0
@clausce,@clausce,1,8,12,0.21824,0.231604,0
@clausche,@clausche,1,65,1,1,1,0
@alejabolivarian,@alejabolivarian,1,65,1,1,1,0
@clausotitoc,@clausotitoc,5,157,11,0.249687,0.272104,0.000179
@claustartmaker,@claustartmaker,1,8,10,0.25687,0.281537,0
@clavelina_r0ja,@clavelina_r0ja,1,124,11,0.219989,0.231932,0
@clavitodechuqui,@clavitodechuqui,1,5,12,0.216573,0.230214,0
@cleivamoris,@cleivamoris,2,157,11,0.247625,0.26848,0.000012
@cleonett12,@cleonett12,2,109,12,0.16854,0.173478,0.000064
@cleovar,@cleovar,4,8,10,0.245168,0.264544,0.000134
@nataly_878,@nataly_878,3,8,10,0.241944,0.259707,0.000012
@clg_galdames,@clg_galdames,1,0,11,0.199615,0.210476,0
@clheba,@clheba,1,8,10,0.25687,0.281537,0
@clhpinochet,@clhpinochet,2,139,10,0.253518,0.281014,0.000045
@clidergaleas,@clidergaleas,2,5,12,0.225144,0.244276,0.0006
@alonsoMant1,@alonsoMant1,2,5,13,0.183789,0.193626,0.0003
@clinton78,@clinton78,2,0,11,0.224511,0.238831,0.000026
@cllocuciones,@cllocuciones,1,8,12,0.230547,0.243628,0
@clmoya,@clmoya,1,157,11,0.246168,0.266,0
@clr_reggae,@clr_reggae,2,8,10,0.235219,0.249354,0.000007
@clubguaucl,@clubguaucl,2,157,11,0.247827,0.268862,0
@clublider,@clublider,1,66,1,1,1,0
@diarioelnortino,@diarioelnortino,1,66,1,1,1,0
@clvergarareyes,@clvergarareyes,1,8,10,0.236657,0.25105,0
@cmanasevich1,@cmanasevich1,1,8,10,0.25687,0.281537,0
@cmerituatona,@cmerituatona,2,5,12,0.202395,0.213481,0.000016
@cmez97,@cmez97,1,124,11,0.201664,0.21304,0
@cmgw2010,@cmgw2010,3,52,11,0.223901,0.238987,0.000384
@cmiamcl,@cmiamcl,2,0,13,0.158123,0.163423,0.0006
@telodamus,@telodamus,2,0,14,0.136544,0.140013,0.0003
@cmmc116,@cmmc116,2,5,10,0.262843,0.291653,0.000071
@cmonts_,@cmonts_,1,8,14,0.155922,0.159756,0
@cna_putre,@cna_putre,1,0,11,0.216365,0.228595,0
@cnavarretey,@cnavarretey,1,5,12,0.172187,0.179468,0
@Makitabecker,@Makitabecker,5,5,11,0.207994,0.221493,0.0012
@cneirar,@cneirar,1,0,11,0.216365,0.228595,0
@cneryda,@cneryda,21,8,10,0.2736,0.307311,0.002114
@HopeRising19,@HopeRising19,1,8,11,0.214833,0.229549,0
@JohanaC51157127,@JohanaC51157127,1,8,11,0.214833,0.229549,0
@jorgeluisaliaga,@jorgeluisaliaga,1,8,11,0.214833,0.229549,0
@santamariale,@santamariale,1,8,11,0.214833,0.229549,0
@zippogtoqro,@zippogtoqro,1,8,11,0.214833,0.229549,0
@cnorland87,@cnorland87,2,139,10,0.253518,0.281014,0.000045
@cobremax1,@cobremax1,1,157,11,0.246168,0.266,0
@cocad10s,@cocad10s,1,67,15,0.118567,0.121203,0
@Budin_chigurh,@Budin_chigurh,11,67,14,0.134512,0.138976,0.004197
@cococolol,@cococolol,1,139,10,0.245122,0.270518,0
@coka_lucero,@coka_lucero,4,157,11,0.24842,0.270028,0.000077
@coke92,@coke92,1,68,2,0.666667,0.75,0
@rectaprovincia,@rectaprovincia,2,68,1,1,1,0
@cokehazbun,@cokehazbun,2,5,10,0.248052,0.275719,0.000059
@cokemeza,@cokemeza,1,0,11,0.224201,0.238157,0
@colarterodrigo,@colarterodrigo,1,5,11,0.204204,0.213865,0
@colmedatacama,@colmedatacama,1,52,12,0.17686,0.183178,0
@colmena_riquelm,@colmena_riquelm,1,139,10,0.245122,0.270518,0
@colocrodriguez,@colocrodriguez,1,183,13,0.161013,0.167948,0
@colomba10,@colomba10,1,124,11,0.201664,0.21304,0
@comecomunistas,@comecomunistas,2,171,12,0.195582,0.206233,0.000001
@cometfran55832,@cometfran55832,1,139,12,0.185923,0.195491,0
@Vadodecaza1,@Vadodecaza1,3,139,11,0.228375,0.246661,0.000301
@cominoantofa,@cominoantofa,1,0,11,0.210253,0.222816,0
@comiteelpolo,@comiteelpolo,1,52,11,0.18593,0.196243,0
@comocopywriter,@comocopywriter,1,0,11,0.222413,0.235746,0
@compadrenanito,@compadrenanito,1,157,11,0.246168,0.266,0
@comunolla,@comunolla,1,157,12,0.19621,0.205935,0
@comuy56,@comuy56,1,157,11,0.246168,0.266,0
@conceterno,@conceterno,1,8,12,0.21824,0.231604,0
@conde_____,@conde_____,1,5,12,0.212171,0.226211,0
@condorblac,@condorblac,1,139,10,0.245122,0.270518,0
@coni_suarez1,@coni_suarez1,1,124,11,0.219989,0.231932,0
@coniseeds,@coniseeds,1,8,10,0.25687,0.281537,0
@conito_hyyh,@conito_hyyh,2,157,11,0.247625,0.26848,0.000012
@conivaldivia,@conivaldivia,1,8,12,0.209464,0.221845,0
@conjuntivisi,@conjuntivisi,1,0,11,0.224201,0.238157,0
@conny63844702,@conny63844702,5,8,10,0.261994,0.29022,0.000065
@constantinogue,@constantinogue,1,157,12,0.182792,0.191127,0
@constanza_bcn3,@constanza_bcn3,1,0,13,0.154102,0.158489,0
@consue_m,@consue_m,1,157,11,0.229608,0.240715,0
@consuel49415874,@consuel49415874,3,5,10,0.257814,0.286813,0.00013
@consusonrisitas,@consusonrisitas,1,157,11,0.246168,0.266,0
@controlvalpo,@controlvalpo,1,52,12,0.157475,0.16314,0
@SaludSsrv,@SaludSsrv,4,52,11,0.186901,0.196897,0.000636
@cony_fuenzalida,@cony_fuenzalida,2,109,10,0.221994,0.234937,0.000042
@cooterchileno,@cooterchileno,1,139,10,0.245122,0.270518,0
@cooyanedel,@cooyanedel,1,139,10,0.245122,0.270518,0
@copayapu46,@copayapu46,1,0,11,0.210253,0.222816,0
@copiagus,@copiagus,1,0,11,0.222413,0.235746,0
@copihua85,@copihua85,10,52,10,0.272107,0.302447,0.012008
@coquimbana2014,@coquimbana2014,2,8,10,0.275928,0.311492,0.000199
@coquita85,@coquita85,1,0,11,0.217289,0.227714,0
@corazondelana26,@corazondelana26,1,124,11,0.201664,0.21304,0
@cornejovalle,@cornejovalle,2,0,11,0.222432,0.235874,0.0003
@TitiVS,@TitiVS,1,0,12,0.181965,0.188988,0
@cosaco_ch,@cosaco_ch,1,5,12,0.194394,0.204435,0
@cosacodeldon,@cosacodeldon,2,139,10,0.253518,0.281014,0.000045
@coteaxis,@coteaxis,1,69,2,0.571429,0.625,0
@rockaxisoficial,@rockaxisoficial,4,69,1,1,1,0
@couplemcyy,@couplemcyy,1,5,12,0.172187,0.179468,0
@coyote1800,@coyote1800,3,5,12,0.231752,0.254847,0.000045
@cpereiraa84,@cpereiraa84,1,5,12,0.225105,0.2441,0
@crazyjandi,@crazyjandi,1,8,12,0.221596,0.236054,0
@crc_gonzalez,@crc_gonzalez,3,8,10,0.262524,0.289945,0.000046
@creadorcuantico,@creadorcuantico,1,8,10,0.235444,0.251191,0
@crebolledohern,@crebolledohern,27,8,10,0.302243,0.346927,0.004558
@ArmadasColombia,@ArmadasColombia,1,8,11,0.232105,0.250899,0
@bullboss63,@bullboss63,2,8,11,0.232146,0.251076,0.000005
@rosapantin1301,@rosapantin1301,1,8,11,0.232105,0.250899,0
@criacan,@criacan,7,5,10,0.269745,0.303052,0.00045
@cris_us,@cris_us,1,139,10,0.235786,0.250448,0
@crisa_ba,@crisa_ba,1,139,12,0.209464,0.221646,0
@crisep94ster,@crisep94ster,1,8,10,0.25687,0.281537,0
@crisfa_32,@crisfa_32,1,215,11,0.215825,0.225695,0
@crisolsim,@crisolsim,1,0,11,0.216365,0.228595,0
@crispain,@crispain,1,169,12,0.192405,0.202633,0
@crispaltri,@crispaltri,2,212,3,0.5,0.633333,0
@dariodangelo91,@dariodangelo91,2,212,2,0.625,0.7,0
@jacopo_iacoboni,@jacopo_iacoboni,1,212,4,0.357143,0.466667,0
@crisruiztagle,@crisruiztagle,2,5,10,0.248052,0.275719,0.000059
@crisspeo,@crisspeo,1,70,1,1,1,0
@Mauro_Yagan,@Mauro_Yagan,1,70,1,1,1,0
@cristhiandlt,@cristhiandlt,1,71,1,1,1,0
@OxlerCeo,@OxlerCeo,1,71,1,1,1,0
@cristhrestrepo,@cristhrestrepo,1,139,10,0.245122,0.270518,0
@cristia02811951,@cristia02811951,1,139,10,0.245122,0.270518,0
@cristia08585061,@cristia08585061,1,0,11,0.185817,0.194718,0
@cristia41626668,@cristia41626668,1,5,12,0.198766,0.208939,0
@cristian020821,@cristian020821,1,8,12,0.210749,0.222493,0
@cristian16230,@cristian16230,3,52,11,0.202973,0.213282,0.000252
@Oruga__Gritona,@Oruga__Gritona,2,52,12,0.177537,0.183236,0.000018
@cristian_23rh,@cristian_23rh,1,215,11,0.215825,0.225695,0
@cristian_avf,@cristian_avf,2,0,11,0.224511,0.238831,0.000026
@cristian_igor,@cristian_igor,1,0,11,0.222413,0.235746,0
@cristian_miquel,@cristian_miquel,1,52,11,0.188005,0.19759,0
@cristianabarcaa,@cristianabarcaa,7,139,10,0.264303,0.298071,0.000771
@cristianant74,@cristianant74,1,5,12,0.183076,0.192202,0
@mmullor2016,@mmullor2016,5,5,11,0.224094,0.241544,0.000905
@cristiancerda_t,@cristiancerda_t,1,5,11,0.204204,0.213865,0
@cristianjcs02,@cristianjcs02,1,72,2,0.666667,0.75,0
@codiguillos,@codiguillos,2,72,1,1,1,0
@cristianklinge2,@cristianklinge2,2,139,10,0.253518,0.281014,0.000045
@cristianromeroo,@cristianromeroo,1,0,11,0.216365,0.228595,0
@cristianvpo,@cristianvpo,1,193,12,0.207636,0.218375,0
@cristibruna2016,@cristibruna2016,8,8,10,0.303854,0.345861,0.005615
@marisahp49,@marisahp49,1,8,11,0.233053,0.250855,0
@cristin33004449,@cristin33004449,1,5,12,0.216573,0.230214,0
@cristinameryr,@cristinameryr,2,0,11,0.253729,0.276525,0.000373
@cristobalferry,@cristobalferry,1,8,10,0.229172,0.240727,0
@cristoballoai1,@cristoballoai1,1,169,12,0.192405,0.202633,0
@cristy_1977,@cristy_1977,1,157,11,0.246168,0.266,0
