Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@ericahenriquezo,@ericahenriquezo,10,8,11,0.257239,0.278287,0.00039
@ahueonado,@ahueonado,1,14,1,1,1,0
@AricaEmergenCH,@AricaEmergenCH,1,14,1,1,1,0
@aiamdeguan,@aiamdeguan,1,52,13,0.156789,0.161022,0
@_miriku_,@_miriku_,2,52,12,0.185936,0.193125,0.0003
@aiejandrolagos,@aiejandrolagos,2,8,12,0.223361,0.238345,0.000003
@airuno,@airuno,1,8,10,0.25687,0.281537,0
@ajajajey,@ajajajey,1,5,12,0.189385,0.20029,0
@ajates,@ajates,1,139,10,0.245122,0.270518,0
@ajelandrito,@ajelandrito,1,109,12,0.151099,0.155427,0
@verdaddeeleazar,@verdaddeeleazar,8,109,11,0.177988,0.185458,0.001842
@akadzr_cl,@akadzr_cl,1,67,17,0.095868,0.0974,0
@CAPArgento__,@CAPArgento__,4,67,16,0.106031,0.108324,0.0009
@akeaolmos,@akeaolmos,2,8,12,0.221218,0.236334,0.000001
@akelregina,@akelregina,3,5,12,0.212214,0.224256,0.000022
@21Cruzada,@21Cruzada,17,5,11,0.248063,0.268595,0.002266
@Verovelasco,@Verovelasco,6,5,11,0.240096,0.259911,0.000369
@al3j4ndra_r,@al3j4ndra_r,1,171,12,0.183205,0.191854,0
@Comecomunistas,@Comecomunistas,7,171,11,0.224288,0.240959,0.000441
@alan_brito_n,@alan_brito_n,1,8,10,0.222365,0.234988,0
@alanholosreale,@alanholosreale,5,8,10,0.262325,0.288339,0.000057
@ultimocolinesio,@ultimocolinesio,85,8,11,0.299175,0.324578,0.011297
@alaralarc,@alaralarc,1,8,10,0.25687,0.281537,0
@alarconcruells,@alarconcruells,1,157,11,0.229608,0.240715,0
@alartiz,@alartiz,2,215,11,0.227554,0.238087,0.000191
@biobio,@biobio,48,215,10,0.275211,0.296965,0.0129
@albamaria777,@albamaria777,2,157,11,0.247012,0.267638,0.000009
@albcat,@albcat,1,5,12,0.225105,0.2441,0
@alberto85366967,@alberto85366967,2,193,12,0.213542,0.228282,0.000006
@Equipo_Patriota,@Equipo_Patriota,28,193,11,0.262033,0.284486,0.002805
@albertobernabo1,@albertobernabo1,2,5,10,0.249916,0.277071,0.000055
@albertoegr,@albertoegr,1,0,11,0.218709,0.231337,0
